# background genes,# genes,category,chart color,description,FDR value,genes,network.SUID,nodes.SUID,p-value,PMID,term name,transferred FDR value,year,FDR (-log10)
16,2,GO Biological Process,,Negative regulation of glial cell proliferation,0.0101,TP53|SKI,10163,10291|10270,2.90E-04,,GO:0060253,0.199567863,0,1.995678626
158,4,Monarch Phenotype,,Dolichocephaly,0.0101,CYP27B1|SMAD3|SKI|AKT1,10163,10255|10252|10270|10330,7.69E-05,,HP:0000268,0.199567863,0,1.995678626
763,7,Monarch Phenotype,,Neoplasm,0.0101,TP53|BMPR1A|BMPR1B|ACVR1|AKT1|MYC|CTNNB1,10163,10291|10300|10294|10279|10330|10318|10285,7.75E-05,,HP:0002664,0.199567863,0,1.995678626
56,3,Monarch Phenotype,,Abscess,0.0101,TP53|BMPR1A|CTNNB1,10163,10291|10300|10285,7.89E-05,,HP:0025615,0.199567863,0,1.995678626
2438,11,GO Biological Process,,Organic substance biosynthetic process,0.0102,CYP27B1|SMAD2|CDK2|TP53|CEBPB|SMAD1|E2F1|SKI|BMPR1B|AKT1|CTNNB1,10163,10255|10267|10303|10291|10312|10282|10264|10270|10294|10330|10285,3.00E-04,,GO:1901576,0.199139983,0,1.991399828
9,2,GO Molecular Function,,Cysteine-type endopeptidase activity involved in execution phase of apoptosis,0.0103,CASP6|CASP3,10163,10309|10333,1.10E-04,,GO:0097200,0.198716278,0,1.987162775
22,2,Reactome Pathways,,E2F mediated regulation of DNA replication,0.0103,E2F1|CDK1,10163,10264|10327,5.30E-04,,HSA-113510,0.198716278,0,1.987162775
22,2,Reactome Pathways,,Signaling by NODAL,0.0103,SMAD2|SMAD3,10163,10267|10252,5.30E-04,,HSA-1181150,0.198716278,0,1.987162775
42,2,WikiPathways,,IL-2 signaling pathway,0.0103,AKT1|MYC,10163,10330|10318,0.0018,,WP49,0.198716278,0,1.987162775
57,3,Monarch Phenotype,,Hemorrhoid,0.0106,TP53|SMAD3|BMPR1B,10163,10291|10252|10294,8.30E-05,,EFO:0009552,0.197469413,0,1.974694135
165,4,Monarch Phenotype,,Abnormality of the ovary,0.0106,TP53|AKT1|MYC|CTNNB1,10163,10291|10330|10318|10285,9.06E-05,,HP:0000137,0.197469413,0,1.974694135
1070,8,Monarch Phenotype,,Abnormality of the endocrine system,0.0106,STUB1|CYP27B1|TP53|PRKACA|BMPR1A|BMPR1B|AKT1|CTNNB1,10163,10315|10255|10291|10261|10300|10294|10330|10285,9.03E-05,,HP:0000818,0.197469413,0,1.974694135
58,3,Monarch Phenotype,,Papilledema,0.0106,TP53|AKT1|CTNNB1,10163,10291|10330|10285,8.72E-05,,HP:0001085,0.197469413,0,1.974694135
58,3,Monarch Phenotype,,Gastrointestinal carcinoma,0.0106,BMPR1A|AKT1|CTNNB1,10163,10300|10330|10285,8.72E-05,,HP:0002672,0.197469413,0,1.974694135
230,4,GO Biological Process,,Negative regulation of apoptotic signaling pathway,0.0107,CSNK2A1|ACVR1|AKT1|CTNNB1,10163,10306|10279|10330|10285,3.20E-04,,GO:2001234,0.197061622,0,1.970616222
1707,9,TISSUES,,Respiratory system,0.0107,CSNK2A1|RBL2|CASP6|PLK1|CEBPB|ACVR1|SUMO2|AKT1|CTNNB1,10163,10306|10276|10309|10297|10312|10279|10273|10330|10285,4.20E-04,,BTO:0000203,0.197061622,0,1.970616222
43,2,WikiPathways,,Fas ligand pathway and stress induction of heat shock proteins,0.0107,CASP6|CASP3,10163,10309|10333,0.0019,,WP314,0.197061622,0,1.970616222
10,2,DISEASES,,PTEN hamartoma tumor syndrome,0.0108,BMPR1A|AKT1,10163,10300|10330,1.30E-04,,DOID:0080191,0.196657624,0,1.966576245
10,2,DISEASES,,Cowden syndrome,0.0108,BMPR1A|AKT1,10163,10300|10330,1.30E-04,,DOID:6457,0.196657624,0,1.966576245
171,3,WikiPathways,,Primary ovarian insufficiency,0.0108,BMPR1A|BMPR1B|AKT1,10163,10300|10294|10330,0.0019,,WP5316,0.196657624,0,1.966576245
327,5,Monarch Phenotype,,Abnormality of the thyroid gland,0.0108,STUB1|TP53|BMPR1A|AKT1|CTNNB1,10163,10315|10291|10300|10330|10285,9.37E-05,,HP:0000820,0.196657624,0,1.966576245
12,2,COMPARTMENTS,,Activin complex,0.0109,SMAD2|ACVR1,10163,10267|10279,1.70E-04,,GOCC:0048180,0.19625735,0,1.962573502
428,5,GO Biological Process,,Regulation of cell growth,0.0109,CSNK2A1|CYP27B1|TP53|SMAD3|AKT1,10163,10306|10255|10291|10252|10330,3.20E-04,,GO:0001558,0.19625735,0,1.962573502
5,2,STRING Clusters,,"Rb C-terminal domain, and E2F-DP heterodimerization region",0.0109,RBL2|E2F4,10163,10276|10321,4.06E-05,,CL:6968,0.19625735,0,1.962573502
1290,8,GO Biological Process,,Neurogenesis,0.011,TP53|CEBPB|CASP3|BMPR1A|SKI|BMPR1B|AKT1|CTNNB1,10163,10291|10312|10333|10300|10270|10294|10330|10285,3.30E-04,,GO:0022008,0.195860731,0,1.958607315
92,3,GO Biological Process,,Roof of mouth development,0.011,SMAD2|BMPR1A|SKI,10163,10267|10300|10270,3.20E-04,,GO:0060021,0.195860731,0,1.958607315
576,6,DISEASES,,Gastrointestinal system disease,0.011,TP53|CASP3|BMPR1A|AKT1|MYC|CTNNB1,10163,10291|10333|10300|10330|10318|10285,1.40E-04,,DOID:77,0.195860731,0,1.958607315
169,4,Monarch Phenotype,,Abnormality of the adrenal glands,0.011,TP53|PRKACA|AKT1|CTNNB1,10163,10291|10261|10330|10285,9.92E-05,,HP:0000834,0.195860731,0,1.958607315
60,3,Monarch Phenotype,,Hallux valgus,0.011,BMPR1B|ACVR1|AKT1,10163,10294|10279|10330,9.61E-05,,HP:0001822,0.195860731,0,1.958607315
1763,10,Monarch Phenotype,,Abnormality of digestive system physiology,0.011,CSNK2A1|STUB1|CYP27B1|TP53|SMAD3|BMPR1A|SKI|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10291|10252|10300|10270|10330|10318|10285,9.68E-05,,HP:0025032,0.195860731,0,1.958607315
792,7,Monarch Phenotype,,Abnormal blood vessel morphology,0.011,SMAD2|TP53|SMAD3|BMPR1A|SKI|AKT1|CTNNB1,10163,10267|10291|10252|10300|10270|10330|10285,9.78E-05,,HP:0033353,0.195860731,0,1.958607315
61,3,Monarch Phenotype,,Subcutaneous nodule,0.0111,ACVR1|AKT1|CTNNB1,10163,10279|10330|10285,1.00E-04,,HP:0001482,0.195467702,0,1.954677021
93,3,GO Biological Process,,Neural tube closure,0.0112,PRKACA|CASP3|SKI,10163,10261|10333|10270,3.30E-04,,GO:0001843,0.195078198,0,1.950781977
968,7,GO Biological Process,,Chromosome organization,0.0112,RBL2|RCOR1|TP53|PLK1|MYB|CDK1|MYC,10163,10276|10324|10291|10297|10288|10327|10318,3.30E-04,,GO:0051276,0.195078198,0,1.950781977
433,5,GO Biological Process,,Negative regulation of immune system process,0.0113,CEBPB|CASP3|AKT1|MYC|CTNNB1,10163,10312|10333|10330|10318|10285,3.40E-04,,GO:0002683,0.194692156,0,1.946921557
272,4,Reactome Pathways,,Cell Cycle Checkpoints,0.0113,CDK2|TP53|PLK1|CDK1,10163,10303|10291|10297|10327,5.90E-04,,HSA-69620,0.194692156,0,1.946921557
381,5,COMPARTMENTS,,Nuclear body,0.0115,CDK2|TP53|PRKACA|SKI|SUMO2,10163,10303|10291|10261|10270|10273,1.90E-04,,GOCC:0016604,0.193930216,0,
225,4,UniProt Keywords,,Proto-oncogene,0.0115,MYB|SKI|AKT1|MYC,10163,10288|10270|10330|10318,2.90E-04,,KW-0656,0.193930216,0,
63,3,Monarch Phenotype,,Portal hypertension,0.0115,TP53|BMPR1A|CTNNB1,10163,10291|10300|10285,1.10E-04,,HP:0001409,0.193930216,0,
172,4,Monarch Phenotype,,Abdominal pain,0.0115,TP53|BMPR1A|MYC|CTNNB1,10163,10291|10300|10318|10285,1.10E-04,,HP:0002027,0.193930216,0,
1426,9,Monarch Phenotype,,Abnormality of the upper limb,0.0115,STUB1|CYP27B1|SMAD2|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1,10163,10315|10255|10267|10252|10300|10270|10294|10279|10330,1.10E-04,,HP:0002817,0.193930216,0,
9,2,Monarch Phenotype,,Subacute progressive viral hepatitis,0.0115,TP53|CTNNB1,10163,10291|10285,1.10E-04,,HP:0006572,0.193930216,0,
9,2,Monarch Phenotype,,Dysgerminoma,0.0115,AKT1|CTNNB1,10163,10330|10285,1.10E-04,,HP:0100621,0.193930216,0,
9,2,Monarch Phenotype,,Hemobilia,0.0115,TP53|CTNNB1,10163,10291|10285,1.10E-04,,HP:0100762,0.193930216,0,
3017,12,TISSUES,,Female reproductive gland,0.0116,RBL2|TP53|PLK1|CEBPB|PRKACA|MYB|BMPR1A|BMPR1B|SUMO2|AKT1|MYC|CTNNB1,10163,10276|10291|10297|10312|10261|10288|10300|10294|10273|10330|10318|10285,4.60E-04,,BTO:0000254,0.193554201,0,
95,3,GO Biological Process,,Female gonad development,0.0118,CEBPB|CASP3|BMPR1B,10163,10312|10333|10294,3.60E-04,,GO:0008585,0.192811799,0,
95,3,GO Biological Process,,Negative regulation of transforming growth factor beta receptor signaling pathway,0.0118,STUB1|TP53|SKI,10163,10315|10291|10270,3.60E-04,,GO:0030512,0.192811799,0,
95,3,GO Biological Process,,Embryonic skeletal system morphogenesis,0.0118,SMAD2|SMAD3|CTNNB1,10163,10267|10252|10285,3.60E-04,,GO:0048704,0.192811799,0,
18,2,GO Biological Process,,Mammary gland epithelial cell differentiation,0.0119,CEBPB|AKT1,10163,10312|10330,3.60E-04,,GO:0060644,0.192445304,0,
343,5,Monarch Phenotype,,Hypogonadism,0.0119,STUB1|TP53|BMPR1B|AKT1|CTNNB1,10163,10315|10291|10294|10330|10285,1.20E-04,,HP:0000135,0.192445304,0,
78,3,COMPARTMENTS,,PML body,0.012,TP53|SKI|SUMO2,10163,10291|10270|10273,2.00E-04,,GOCC:0016605,0.192081875,0,
892,7,COMPARTMENTS,,Transferase complex,0.012,STUB1|CDK2|PRKACA|CDK1|ACVR1|SUMO2|AKT1,10163,10315|10303|10261|10327|10279|10273|10330,2.00E-04,,GOCC:1990234,0.192081875,0,
46,2,WikiPathways,,Envelope proteins and their potential roles in EDMD physiopathology,0.012,SMAD2|SMAD3,10163,10267|10252,0.0021,,WP4535,0.192081875,0,
65,3,Monarch Phenotype,,Fibroma,0.0122,BMPR1A|AKT1|CTNNB1,10163,10300|10330|10285,1.20E-04,,HP:0010614,0.191364017,0,
1117,8,Monarch Phenotype,,Abnormal reproductive system morphology,0.0122,TP53|SMAD3|BMPR1A|SKI|BMPR1B|AKT1|MYC|CTNNB1,10163,10291|10252|10300|10270|10294|10330|10318|10285,1.20E-04,,HP:0012243,0.191364017,0,
66,3,Monarch Phenotype,,Hypoalbuminemia,0.0123,TP53|BMPR1A|CTNNB1,10163,10291|10300|10285,1.30E-04,,HP:0003073,0.191009489,0,
10,2,Monarch Phenotype,,Abdominal wall muscle weakness,0.0123,CYP27B1|SKI,10163,10255|10270,1.30E-04,,HP:0009023,0.191009489,0,
97,3,GO Biological Process,,Negative regulation of myeloid cell differentiation,0.0124,MYB|MYC|CTNNB1,10163,10288|10318|10285,3.80E-04,,GO:0045638,0.190657831,0,
47,2,WikiPathways,,Thymic stromal lymphopoietin (TSLP) signaling pathway,0.0124,AKT1|MYC,10163,10330|10318,0.0022,,WP2203,0.190657831,0,
67,3,Monarch Phenotype,,Hypokalemia,0.0124,TP53|BMPR1A|CTNNB1,10163,10291|10300|10285,1.30E-04,,HP:0002900,0.190657831,0,
67,3,Monarch Phenotype,,Abnormal circulating albumin concentration,0.0124,TP53|BMPR1A|CTNNB1,10163,10291|10300|10285,1.30E-04,,HP:0012116,0.190657831,0,
98,3,GO Biological Process,,Response to heat,0.0127,STUB1|PRKACA|AKT1,10163,10315|10261|10330,3.90E-04,,GO:0009408,0.189619628,0,
243,4,GO Biological Process,,Negative regulation of cellular catabolic process,0.0127,CSNK2A1|TP53|E2F1|AKT1,10163,10306|10291|10264|10330,3.90E-04,,GO:0031330,0.189619628,0,
353,5,GO Molecular Function,,RNA polymerase II-specific DNA-binding transcription factor binding,0.0127,SMAD2|TP53|CEBPB|SMAD3|CTNNB1,10163,10267|10291|10312|10252|10285,1.30E-04,,GO:0061629,0.189619628,0,
356,5,Monarch Phenotype,,Limitation of joint mobility,0.0127,SKI|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10270|10294|10279|10330|10285,1.40E-04,,HP:0001376,0.189619628,0,
7004,19,TISSUES,,Gland,0.0128,STUB1|CYP27B1|RBL2|SMAD2|TP53|PLK1|CEBPB|SMAD1|PRKACA|SMAD3|MYB|E2F1|BMPR1A|E2F4|BMPR1B|SUMO2|AKT1|MYC|CTNNB1,10163,10315|10255|10276|10267|10291|10297|10312|10282|10261|10252|10288|10264|10300|10321|10294|10273|10330|10318|10285,5.10E-04,,BTO:0000522,0.189279003,0,
108,3,TISSUES,,Prostate cancer cell line,0.0128,TP53|CASP3|AKT1,10163,10291|10333|10330,5.10E-04,,BTO:0001033,0.189279003,0,
183,3,WikiPathways,,Vitamin D receptor pathway,0.0128,CYP27B1|CDK2|MYC,10163,10255|10303|10318,0.0023,,WP2877,0.189279003,0,
19,2,GO Biological Process,,Ectoderm development,0.013,BMPR1A|CTNNB1,10163,10300|10285,4.00E-04,,GO:0007398,0.188605665,0,
99,3,GO Biological Process,,Regulation of G2/M transition of mitotic cell cycle,0.013,CDK2|PLK1|CDK1,10163,10303|10297|10327,4.00E-04,,GO:0010389,0.188605665,0,
19,2,GO Biological Process,,Pericardium development,0.013,SMAD2|SMAD3,10163,10267|10252,4.00E-04,,GO:0060039,0.188605665,0,
12,2,DISEASES,,Head and neck cancer,0.013,TP53|AKT1,10163,10291|10330,1.70E-04,,DOID:11934,0.188605665,0,
12,2,DISEASES,,Nephroblastoma,0.013,TP53|CTNNB1,10163,10291|10285,1.70E-04,,DOID:2154,0.188605665,0,
69,3,Monarch Phenotype,,Hamartoma,0.013,BMPR1A|ACVR1|AKT1,10163,10300|10279|10330,1.40E-04,,HP:0010566,0.188605665,0,
247,4,GO Biological Process,,Heart morphogenesis,0.0132,TP53|SMAD3|BMPR1A|ACVR1,10163,10291|10252|10300|10279,4.10E-04,,GO:0003007,0.187942607,0,
3463,13,GO Biological Process,,Cellular nitrogen compound metabolic process,0.0132,STUB1|SMAD2|CDK2|TP53|CEBPB|SMAD1|PRKACA|SMAD3|E2F1|SKI|CDK1|AKT1|CTNNB1,10163,10315|10267|10303|10291|10312|10282|10261|10252|10264|10270|10327|10330|10285,4.10E-04,,GO:0034641,0.187942607,0,
49,2,WikiPathways,,IL-3 signaling pathway,0.0132,PRKACA|AKT1,10163,10261|10330,0.0024,,WP286,0.187942607,0,
49,2,WikiPathways,,TROP2 regulatory signaling,0.0132,CDK2|CTNNB1,10163,10303|10285,0.0024,,WP5300,0.187942607,0,
248,4,GO Biological Process,,Gliogenesis,0.0134,TP53|SKI|AKT1|CTNNB1,10163,10291|10270|10330|10285,4.20E-04,,GO:0042063,0.18728952,0,
362,5,Monarch Phenotype,,Abnormal sternum morphology,0.0134,CYP27B1|SMAD2|SMAD3|SKI|AKT1,10163,10255|10267|10252|10270|10330,1.50E-04,,HP:0000766,0.18728952,0,
1151,8,Monarch Phenotype,,Abnormal respiratory system physiology,0.0134,SMAD2|TP53|SMAD3|BMPR1A|SKI|ACVR1|AKT1|CTNNB1,10163,10267|10291|10252|10300|10270|10279|10330|10285,1.50E-04,,HP:0002795,0.18728952,0,
11,2,Monarch Phenotype,,Epigastric pain,0.0134,TP53|CTNNB1,10163,10291|10285,1.50E-04,,HP:0410019,0.18728952,0,
20,2,GO Biological Process,,Positive regulation of chondrocyte differentiation,0.0141,SMAD3|BMPR1B,10163,10252|10294,4.40E-04,,GO:0032332,0.185078089,0,
20,2,GO Biological Process,,Positive regulation of transforming growth factor beta production,0.0141,SMAD3|BMPR1A,10163,10252|10300,4.40E-04,,GO:0071636,0.185078089,0,
252,4,GO Biological Process,,Response to alcohol,0.0141,SMAD2|CDK1|AKT1|CTNNB1,10163,10267|10327|10330|10285,4.40E-04,,GO:0097305,0.185078089,0,
1491,9,GO Molecular Function,,ATP binding,0.0141,CSNK2A1|CDK2|PLK1|PRKACA|BMPR1A|CDK1|BMPR1B|ACVR1|AKT1,10163,10306|10303|10297|10261|10300|10327|10294|10279|10330,1.50E-04,,GO:0005524,0.185078089,0,
1199,8,DISEASES,,Central nervous system disease,0.0142,STUB1|CYP27B1|TP53|CASP3|E2F4|ACVR1|AKT1|CTNNB1,10163,10315|10255|10291|10333|10321|10279|10330|10285,2.00E-04,,DOID:331,0.184771166,0,
193,4,Monarch Phenotype,,Alopecia,0.0142,STUB1|CYP27B1|PRKACA|ACVR1,10163,10315|10255|10261|10279,1.60E-04,,HP:0001596,0.184771166,0,
1165,8,Monarch Phenotype,,Abnormality of skin adnexa morphology,0.0142,CSNK2A1|STUB1|CYP27B1|PRKACA|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10306|10315|10255|10261|10294|10279|10330|10285,1.60E-04,,HP:0011138,0.184771166,0,
253,4,GO Biological Process,,Regulation of chromosome organization,0.0143,CDK2|PLK1|MYC|CTNNB1,10163,10303|10297|10318|10285,4.50E-04,,GO:0033044,0.184466396,0,
461,5,GO Biological Process,,Positive regulation of protein localization,0.0143,PLK1|PRKACA|SMAD3|CDK1|AKT1,10163,10297|10261|10252|10327|10330,4.50E-04,,GO:1903829,0.184466396,0,
73,3,Monarch Phenotype,,Bone pain,0.0144,CYP27B1|TP53|CTNNB1,10163,10255|10291|10285,1.70E-04,,HP:0002653,0.184163751,0,
73,3,Monarch Phenotype,,Osteolysis,0.0144,CYP27B1|TP53|CTNNB1,10163,10255|10291|10285,1.70E-04,,HP:0002797,0.184163751,0,
1513,9,Monarch Phenotype,,Abnormality of body weight,0.0144,CSNK2A1|CYP27B1|TP53|PRKACA|BMPR1A|SKI|ACVR1|AKT1|CTNNB1,10163,10306|10255|10291|10261|10300|10270|10279|10330|10285,1.70E-04,,HP:0004323,0.184163751,0,
3173,13,Monarch Phenotype,,Abnormality of the musculoskeletal system,0.0144,CSNK2A1|STUB1|CYP27B1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10306|10315|10255|10267|10291|10261|10252|10300|10270|10294|10279|10330|10285,1.70E-04,,HP:0033127,0.184163751,0,
73,3,Monarch Phenotype,,Chest pain,0.0144,SMAD2|SMAD3|CTNNB1,10163,10267|10252|10285,1.70E-04,,HP:0100749,0.184163751,0,
104,3,GO Biological Process,,Negative regulation of small molecule metabolic process,0.0145,CYP27B1|TP53|AKT1,10163,10255|10291|10330,4.60E-04,,GO:0062014,0.1838632,0,
254,4,GO Biological Process,,Regulation of protein modification by small protein conjugation or removal,0.0145,STUB1|PLK1|AKT1|CTNNB1,10163,10315|10297|10330|10285,4.60E-04,,GO:1903320,0.1838632,0,
12,2,Monarch Phenotype,,Thin bony cortex,0.0145,CYP27B1|AKT1,10163,10255|10330,1.70E-04,,HP:0002753,0.1838632,0,
74,3,Monarch Phenotype,,Skin nodule,0.0145,ACVR1|AKT1|CTNNB1,10163,10279|10330|10285,1.70E-04,,HP:0200036,0.1838632,0,
27,2,Reactome Pathways,,VEGFR2 mediated vascular permeability,0.0147,AKT1|CTNNB1,10163,10330|10285,7.70E-04,,HSA-5218920,0.183268267,0,
27,2,Reactome Pathways,,Pyroptosis,0.0147,TP53|CASP3,10163,10291|10333,7.70E-04,,HSA-5620971,0.183268267,0,
521,5,Reactome Pathways,,Signaling by Receptor Tyrosine Kinases,0.0147,STUB1|PRKACA|AKT1|MYC|CTNNB1,10163,10315|10261|10330|10318|10285,7.80E-04,,HSA-9006934,0.183268267,0,
105,3,GO Biological Process,,Regulation of signal transduction by p53 class mediator,0.0149,TP53|AKT1|MYC,10163,10291|10330|10318,4.70E-04,,GO:1901796,0.182681373,0,
21,2,GO Biological Process,,Regulation of transcription involved in G1/S transition of mitotic cell cycle,0.0151,E2F1|E2F4,10163,10264|10321,4.80E-04,,GO:0000083,0.182102305,0,
21,2,GO Biological Process,,Lens morphogenesis in camera-type eye,0.0151,SKI|CTNNB1,10163,10270|10285,4.80E-04,,GO:0002089,0.182102305,0,
259,4,GO Biological Process,,Positive regulation of growth,0.0154,CSNK2A1|BMPR1A|CDK1|AKT1,10163,10306|10300|10327|10330,4.90E-04,,GO:0045927,0.181247928,0,
201,4,Monarch Phenotype,,Cerebral ischemia,0.0154,SMAD2|SMAD3|BMPR1A|CTNNB1,10163,10267|10252|10300|10285,1.90E-04,,HP:0002637,0.181247928,0,
201,4,Monarch Phenotype,,Tissue ischemia,0.0154,SMAD2|SMAD3|BMPR1A|CTNNB1,10163,10267|10252|10300|10285,1.90E-04,,HP:0033401,0.181247928,0,
381,5,Monarch Phenotype,,Abnormal cerebral vascular morphology,0.0154,SMAD2|SMAD3|BMPR1A|AKT1|CTNNB1,10163,10267|10252|10300|10330|10285,1.90E-04,,HP:0100659,0.181247928,0,
41,3,InterPro Domains,,Snake toxin-like superfamily,0.0156,BMPR1A|BMPR1B|ACVR1,10163,10300|10294|10279,3.26E-05,,IPR045860,0.18068754,0,
54,2,WikiPathways,,IL-4 signaling pathway,0.0157,CEBPB|AKT1,10163,10312|10330,0.0029,,WP395,0.180410035,0,
14,2,DISEASES,,Glioblastoma multiforme,0.016,TP53|AKT1,10163,10291|10330,2.30E-04,,DOID:3068,0.179588002,0,
13,2,Monarch Phenotype,,Enlarged pituitary gland,0.016,AKT1|CTNNB1,10163,10330|10285,2.00E-04,,HP:0012505,0.179588002,0,
13,2,Monarch Phenotype,,Bitemporal hemianopia,0.016,AKT1|CTNNB1,10163,10330|10285,2.00E-04,,HP:0030521,0.179588002,0,
78,3,Monarch Phenotype,,Benign neoplasm of the central nervous system,0.016,TP53|BMPR1A|AKT1,10163,10291|10300|10330,2.00E-04,,HP:0100835,0.179588002,0,
29,2,Reactome Pathways,,Downregulation of ERBB2 signaling,0.0162,STUB1|AKT1,10163,10315|10330,8.80E-04,,HSA-8863795,0.179048499,0,
1539,9,GO Cellular Component,,Catalytic complex,0.0165,CSNK2A1|STUB1|RCOR1|CASP6|CDK2|PRKACA|CASP3|CDK1|ACVR1,10163,10306|10315|10324|10309|10303|10261|10333|10327|10279,1.90E-04,,GO:1902494,0.178251606,0,
198,4,GO Molecular Function,,Phosphatase binding,0.0165,SMAD2|TP53|SMAD3|CTNNB1,10163,10267|10291|10252|10285,1.80E-04,,GO:0019902,0.178251606,0,
54,2,KEGG Pathways,,Regulation of lipolysis in adipocytes,0.0168,PRKACA|AKT1,10163,10261|10330,0.0029,,hsa04923,0.177469072,0,
30,2,Reactome Pathways,,Regulation of TP53 Activity through Acetylation,0.0171,TP53|AKT1,10163,10291|10330,9.40E-04,,HSA-6804758,0.176700389,0,
30,2,Reactome Pathways,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",0.0171,SMAD2|SMAD3,10163,10267|10252,9.40E-04,,HSA-9615017,0.176700389,0,
111,3,GO Biological Process,,Regulation of cyclin-dependent protein serine/threonine kinase activity,0.0172,PLK1|CASP3|AKT1,10163,10297|10333|10330,5.50E-04,,GO:0000079,0.176447155,0,
747,6,GO Biological Process,,Positive regulation of protein phosphorylation,0.0172,TP53|PLK1|BMPR1A|BMPR1B|ACVR1|AKT1,10163,10291|10297|10300|10294|10279|10330,5.60E-04,,GO:0001934,0.176447155,0,
111,3,GO Biological Process,,Positive regulation of histone modification,0.0172,TP53|MYB|CTNNB1,10163,10291|10288|10285,5.50E-04,,GO:0031058,0.176447155,0,
23,2,GO Biological Process,,Signal transduction involved in regulation of gene expression,0.0176,SMAD2|SMAD3,10163,10267|10252,5.70E-04,,GO:0023019,0.175448733,0,
23,2,GO Biological Process,,Positive regulation of cardiac muscle cell proliferation,0.0176,BMPR1A|CDK1,10163,10300|10327,5.70E-04,,GO:0060045,0.175448733,0,
15,2,DISEASES,,Cervical cancer,0.0176,TP53|AKT1,10163,10291|10330,2.60E-04,,DOID:4362,0.175448733,0,
203,3,KEGG Pathways,,Human immunodeficiency virus 1 infection,0.0176,CASP3|CDK1|AKT1,10163,10333|10327|10330,0.003,,hsa05170,0.175448733,0,
1917,9,Reactome Pathways,,Metabolism of proteins,0.0176,CSNK2A1|SMAD2|TP53|SMAD1|SMAD3|CDK1|SUMO2|MYC|CTNNB1,10163,10306|10267|10291|10282|10252|10327|10273|10318|10285,9.80E-04,,HSA-392499,0.175448733,0,
635,6,Monarch Phenotype,,High palate,0.0177,CSNK2A1|SMAD2|SMAD3|SKI|AKT1|CTNNB1,10163,10306|10267|10252|10270|10330|10285,2.40E-04,,HP:0000218,0.175202673,0,
14,2,Monarch Phenotype,,Budd-Chiari syndrome,0.0177,TP53|CTNNB1,10163,10291|10285,2.30E-04,,HP:0002639,0.175202673,0,
14,2,Monarch Phenotype,,Abnormal visual field test,0.0177,AKT1|CTNNB1,10163,10330|10285,2.30E-04,,HP:0030588,0.175202673,0,
113,3,GO Biological Process,,Negative regulation of protein serine/threonine kinase activity,0.0179,PLK1|CASP3|AKT1,10163,10297|10333|10330,5.80E-04,,GO:0071901,0.174714697,0,
272,4,GO Biological Process,,Cellular response to chemical stress,0.018,TP53|CASP3|CDK1|AKT1,10163,10291|10333|10327|10330,5.90E-04,,GO:0062197,0.174472749,0,
13,2,GO Molecular Function,,Nuclear glucocorticoid receptor binding,0.0181,CEBPB|SMAD3,10163,10312|10252,2.00E-04,,GO:0035259,0.174232143,0,
114,3,GO Biological Process,,Stem cell population maintenance,0.0182,BMPR1A|SKI|CTNNB1,10163,10300|10270|10285,6.00E-04,,GO:0019827,0.173992861,0,
17,2,COMPARTMENTS,,Enzyme activator complex,0.0184,TP53|CASP3,10163,10291|10333,3.30E-04,,GOCC:0150005,0.173518218,0,
274,4,GO Biological Process,,Negative regulation of transferase activity,0.0184,TP53|PLK1|CASP3|AKT1,10163,10291|10297|10333|10330,6.10E-04,,GO:0051348,0.173518218,0,
2389,11,Monarch Phenotype,,Abnormality of the digestive system,0.0187,CSNK2A1|STUB1|CYP27B1|SMAD2|TP53|SMAD3|BMPR1A|SKI|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10267|10291|10252|10300|10270|10330|10318|10285,2.50E-04,,HP:0025031,0.172815839,0,
682,6,COMPARTMENTS,,Plasma membrane protein complex,0.0188,CASP3|BMPR1A|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10333|10300|10294|10279|10330|10285,3.40E-04,,GOCC:0098797,0.172584215,0,
16,2,DISEASES,,Ovarian carcinoma,0.0192,TP53|MYC,10163,10291|10318,2.90E-04,,DOID:4001,0.171669877,0,
59,2,KEGG Pathways,,Inflammatory bowel disease,0.0192,SMAD2|SMAD3,10163,10267|10252,0.0034,,hsa05321,0.171669877,0,
648,6,Monarch Phenotype,,Abnormal lower limb bone morphology,0.0195,CYP27B1|TP53|SKI|BMPR1B|ACVR1|AKT1,10163,10255|10291|10270|10294|10279|10330,2.60E-04,,HP:0040069,0.170996539,0,
61,2,WikiPathways,,Notch signaling pathway,0.0196,AKT1|MYC,10163,10330|10318,0.0036,,WP61,0.170774393,0,
1253,8,Monarch Phenotype,,Abnormality of body height,0.0197,CYP27B1|SMAD2|TP53|PRKACA|SMAD3|BMPR1B|AKT1|CTNNB1,10163,10255|10267|10291|10261|10252|10294|10330|10285,2.70E-04,,HP:0000002,0.170553377,0,
